id,real age,predicted age,|error|
2614728,28,43,15
2614725,51,64,13
2614701,66,53,13
2652054,49,66,17
2653094,32,54,22
2653092,30,52,22
2653086,51,45,6
2653081,48,62,14
2653080,48,63,15
2653079,48,63,15
2653078,48,64,16
2653077,73,59,14
2653073,34,50,16
2653072,36,56,20
2653071,36,59,23
2653066,57,61,4
2653065,47,61,14
2653061,16,57,41
2653059,52,62,10
2653058,30,54,24
2653056,48,53,5
2653054,44,61,17
2653053,48,60,12
2653052,53,65,12
2653051,63,62,1
2653048,48,64,16
2653045,48,63,15
2653044,30,60,30
2653042,58,55,3
2653040,58,54,4
2653039,35,60,25
2653038,58,45,13
2653037,35,61,26
2653036,48,55,7
2653035,48,55,7
2653032,48,57,9
2653031,32,61,29
2653026,35,60,25
2653022,69,64,5
2653021,30,60,30
2653019,58,63,5
2653018,41,60,19
2653016,66,60,6
2653015,41,58,17
2653014,41,58,17
2653013,48,54,6
2653012,66,62,4
2653010,30,54,24
2653081,48,62,14
2653080,48,63,15
2653078,48,64,16
2653077,73,59,14
2653073,34,50,16
2653072,36,56,20
2653071,36,59,23
2653061,16,57,41
2653059,52,62,10
2653058,30,54,24
2653056,48,53,5
2653054,44,61,17
2653053,48,60,12
2653052,53,65,12
2653051,63,62,1
2653048,48,64,16
2653046,45,46,1
2653045,48,63,15
2653044,30,60,30
2653042,58,55,3
2653040,58,54,4
2653039,35,60,25
2653037,35,61,26
2653036,48,55,7
2653035,48,55,7
2653033,48,46,2
2653032,48,57,9
2653026,35,60,25
2653022,69,64,5
2653021,30,60,30
2653019,58,63,5
2653018,41,60,19
2653016,66,60,6
2653015,41,58,17
2653014,41,58,17
2653013,48,54,6
2653012,66,62,4
2653011,30,55,25
2653010,30,54,24
2653008,44,63,19
2653007,62,62,0
2653005,50,61,11
2653004,54,62,8
2653002,30,58,28
2652999,50,58,8
2652998,24,61,37
2652997,30,62,32
2652996,30,58,28
2652995,67,58,9
2652994,24,61,37
2652993,30,66,36
2652992,62,62,0
2652991,39,63,24
2652990,62,60,2
2652989,62,61,1
2652988,54,59,5
2652987,62,56,6
2652986,62,62,0
2652985,67,56,11
2652982,35,57,22
2652980,51,62,11
2652979,30,54,24
2652978,72,64,8
2652977,54,59,5
2652976,50,51,1
2652974,50,50,0
2652972,62,58,4
2652971,63,54,9
2652970,68,64,4
2652969,39,35,4
2652966,30,43,13
2652965,39,51,12
2652964,30,57,27
2652974,50,50,0
2652972,62,58,4
2652971,63,54,9
2652970,68,64,4
2652966,30,43,13
2652965,39,51,12
2652964,30,57,27
2652963,30,57,27
2652960,30,54,24
2652958,30,64,34
2652957,44,58,14
2652956,47,50,3
2652955,30,55,25
2652954,30,55,25
2652953,53,53,0
2652952,30,44,14
2652951,46,59,13
2652945,46,55,9
2652955,30,55,25
2652954,30,55,25
2652953,53,53,0
2652952,30,44,14
2652951,46,59,13
2652949,49,58,9
2652943,65,62,3
2652942,46,64,18
2652938,30,60,30
2652937,48,61,13
2652936,72,63,9
2652933,51,63,12
2652931,30,62,32
2652927,54,55,1
2652926,48,61,13
2652922,48,58,10
2652920,30,57,27
2652919,30,59,29
2652913,40,58,18
2652912,47,53,6
2652909,47,63,16
2652908,30,56,26
2652905,30,59,29
2652904,24,44,20
2652903,30,54,24
2652901,24,60,36
2652900,64,51,13
2652899,72,62,10
2652898,66,52,14
2652897,54,54,0
2652913,40,58,18
2652912,47,53,6
2652911,27,60,33
2652909,47,63,16
2652908,30,56,26
2652905,30,59,29
2652904,24,44,20
2652903,30,54,24
2652903,30,54,24
2652901,24,60,36
2652899,72,62,10
2652898,66,52,14
2652897,54,54,0
2652896,44,60,16
2652894,28,64,36
2652893,47,65,18
2652892,56,64,8
2652890,87,62,25
2652888,62,63,1
2652887,48,60,12
2652885,48,60,12
2652883,63,62,1
2652882,42,53,11
2652880,61,50,11
2652879,54,61,7
2652876,73,61,12
2652875,48,63,15
2652872,47,56,9
2652871,52,61,9
2652870,30,52,22
2652867,68,52,16
2652865,16,56,40
2652864,28,55,27
2652863,60,61,1
2652862,66,65,1
2652855,53,55,2
2652854,81,59,22
2652850,53,56,3
2652854,81,59,22
2652850,53,56,3
2652849,53,55,2
2652848,13,57,44
2652846,53,56,3
2652845,33,64,31
2652843,60,62,2
2652841,62,61,1
2652840,30,63,33
2652839,36,59,23
2652838,48,63,15
2652836,48,60,12
2652835,48,62,14
2652833,81,66,15
2652832,30,44,14
2652830,48,61,13
2652829,30,58,28
2652825,30,63,33
2652823,54,61,7
2652822,54,61,7
2652819,54,62,8
2652816,54,61,7
2652815,54,59,5
2652814,54,64,10
2652813,30,61,31
2652799,57,61,4
2652797,54,60,6
2652796,54,60,6
2652792,50,52,2
2652829,30,58,28
2652827,31,52,21
2652825,30,63,33
2652823,54,61,7
2652822,54,61,7
2652819,54,62,8
2652817,30,61,31
2652816,54,61,7
2652815,54,59,5
2652814,54,64,10
2652813,30,61,31
2652805,64,64,0
2652799,57,61,4
