id,real age,predicted age,|error|
2614728,28,47,19
2614725,51,51,0
2614701,66,52,14
2652054,49,55,6
2653094,32,43,11
2653092,30,50,20
2653086,51,46,5
2653081,48,62,14
2653080,48,55,7
2653079,48,61,13
2653078,48,58,10
2653077,73,50,23
2653073,34,61,27
2653072,36,41,5
2653071,36,44,8
2653066,57,54,3
2653065,47,48,1
2653061,16,43,27
2653059,52,64,12
2653058,30,46,16
2653056,48,57,9
2653054,44,52,8
2653053,48,58,10
2653052,53,53,0
2653051,63,53,10
2653048,48,59,11
2653045,48,53,5
2653044,30,57,27
2653042,58,38,20
2653040,58,40,18
2653039,35,48,13
2653038,58,40,18
2653037,35,62,27
2653036,48,51,3
2653035,48,56,8
2653032,48,52,4
2653031,32,48,16
2653026,35,58,23
2653022,69,62,7
2653021,30,51,21
2653019,58,54,4
2653018,41,52,11
2653016,66,52,14
2653015,41,45,4
2653014,41,48,7
2653013,48,51,3
2653012,66,48,18
2653010,30,53,23
2653081,48,62,14
2653080,48,55,7
2653078,48,58,10
2653077,73,50,23
2653073,34,61,27
2653072,36,41,5
2653071,36,44,8
2653061,16,43,27
2653059,52,64,12
2653058,30,46,16
2653056,48,57,9
2653054,44,52,8
2653053,48,58,10
2653052,53,53,0
2653051,63,53,10
2653048,48,59,11
2653046,45,48,3
2653045,48,53,5
2653044,30,57,27
2653042,58,38,20
2653040,58,40,18
2653039,35,48,13
2653037,35,62,27
2653036,48,51,3
2653035,48,56,8
2653033,48,55,7
2653032,48,52,4
2653026,35,58,23
2653022,69,62,7
2653021,30,51,21
2653019,58,54,4
2653018,41,52,11
2653016,66,52,14
2653015,41,45,4
2653014,41,48,7
2653013,48,51,3
2653012,66,48,18
2653011,30,48,18
2653010,30,53,23
2653008,44,46,2
2653007,62,53,9
2653005,50,52,2
2653004,54,53,1
2653002,30,62,32
2652999,50,34,16
2652998,24,52,28
2652997,30,53,23
2652996,30,57,27
2652995,67,50,17
2652994,24,53,29
2652993,30,36,6
2652992,62,50,12
2652991,39,60,21
2652990,62,52,10
2652989,62,54,8
2652988,54,54,0
2652987,62,35,27
2652986,62,61,1
2652985,67,50,17
2652982,35,50,15
2652980,51,43,8
2652979,30,47,17
2652978,72,48,24
2652977,54,63,9
2652976,50,55,5
2652974,50,52,2
2652972,62,46,16
2652971,63,60,3
2652970,68,53,15
2652969,39,39,0
2652966,30,56,26
2652965,39,47,8
2652964,30,47,17
2652974,50,52,2
2652972,62,46,16
2652971,63,60,3
2652970,68,53,15
2652966,30,56,26
2652965,39,47,8
2652964,30,47,17
2652963,30,50,20
2652960,30,44,14
2652958,30,55,25
2652957,44,51,7
2652956,47,48,1
2652955,30,50,20
2652954,30,46,16
2652953,53,57,4
2652952,30,48,18
2652951,46,44,2
2652945,46,49,3
2652955,30,50,20
2652954,30,46,16
2652953,53,57,4
2652952,30,48,18
2652951,46,44,2
2652949,49,48,1
2652943,65,54,11
2652942,46,47,1
2652938,30,39,9
2652937,48,51,3
2652936,72,49,23
2652933,51,63,12
2652931,30,50,20
2652927,54,50,4
2652926,48,52,4
2652922,48,49,1
2652920,30,48,18
2652919,30,54,24
2652913,40,47,7
2652912,47,47,0
2652909,47,48,1
2652908,30,46,16
2652905,30,47,17
2652904,24,41,17
2652903,30,45,15
2652901,24,52,28
2652900,64,45,19
2652899,72,62,10
2652898,66,53,13
2652897,54,47,7
2652913,40,47,7
2652912,47,47,0
2652911,27,51,24
2652909,47,48,1
2652908,30,46,16
2652905,30,47,17
2652904,24,41,17
2652903,30,45,15
2652903,30,45,15
2652901,24,52,28
2652899,72,62,10
2652898,66,53,13
2652897,54,47,7
2652896,44,48,4
2652894,28,48,20
2652893,47,51,4
2652892,56,40,16
2652890,87,53,34
2652888,62,58,4
2652887,48,54,6
2652885,48,52,4
2652883,63,52,11
2652882,42,49,7
2652880,61,50,11
2652879,54,48,6
2652876,73,48,25
2652875,48,58,10
2652872,47,47,0
2652871,52,39,13
2652870,30,49,19
2652867,68,50,18
2652865,16,48,32
2652864,28,40,12
2652863,60,48,12
2652862,66,52,14
2652855,53,43,10
2652854,81,62,19
2652850,53,47,6
2652854,81,62,19
2652850,53,47,6
2652849,53,48,5
2652848,13,48,35
2652846,53,47,6
2652845,33,48,15
2652843,60,47,13
2652841,62,53,9
2652840,30,55,25
2652839,36,41,5
2652838,48,56,8
2652836,48,61,13
2652835,48,62,14
2652833,81,36,45
2652832,30,46,16
2652830,48,57,9
2652829,30,47,17
2652825,30,52,22
2652823,54,42,12
2652822,54,43,11
2652819,54,48,6
2652816,54,44,10
2652815,54,47,7
2652814,54,45,9
2652813,30,45,15
2652799,57,51,6
2652797,54,62,8
2652796,54,58,4
2652792,50,49,1
2652829,30,47,17
2652827,31,42,11
2652825,30,52,22
2652823,54,42,12
2652822,54,43,11
2652819,54,48,6
2652817,30,45,15
2652816,54,44,10
2652815,54,47,7
2652814,54,45,9
2652813,30,45,15
2652805,64,49,15
2652799,57,51,6
2652797,54,62,8
2652796,54,58,4
2652792,50,49,1
2652790,46,53,7
2652789,30,51,21
2652788,69,60,9
2652786,30,48,18
2652785,30,49,19
2652782,46,35,11
2652780,30,47,17
2652779,57,62,5
2652777,62,55,7
2652776,30,39,9
2652775,62,51,11
2652774,33,54,21
2652772,46,53,7
2652769,44,53,9
2652767,30,52,22
2652766,37,63,26
2652765,48,46,2
2652763,57,53,4
2652761,56,52,4
2652759,30,51,21
2652758,47,57,10
2652757,31,48,17
2652755,57,51,6
2652753,31,46,15
2652750,64,61,3
2652747,62,50,12
2652746,30,39,9
2652745,57,48,9
2652744,68,51,17
2652743,64,60,4
2652741,71,53,18
2652740,38,49,11
2652739,30,49,19
2652738,30,49,19
2652737,30,41,11
2652736,51,54,3
2652735,30,45,15
2652734,39,37,2
2652733,45,54,9
2652732,75,49,26
2652730,66,50,16
2652729,66,51,15
2652728,53,51,2
2652726,58,53,5
2652725,48,62,14
2652724,58,49,9
2652722,30,48,18
2652720,51,59,8
2652719,48,50,2
2652717,30,57,27
2652714,47,47,0
2652711,32,53,21
2652709,51,59,8
2652708,31,34,3
2652705,30,64,34
2652704,48,58,10
2652703,30,63,33
2652701,30,48,18
2652699,56,50,6
2652697,30,62,32
2652696,30,50,20
2652694,32,46,14
2652692,32,62,30
2652691,61,51,10
2652690,45,50,5
2652689,45,50,5
2652688,64,51,13
2652684,36,52,16
2652682,36,51,15
2652680,30,62,32
2652679,42,46,4
2652678,30,38,8
2652677,72,51,21
2652676,51,47,4
2652674,30,55,25
2652673,47,51,4
2652672,59,48,11
2652671,48,57,9
2652670,55,57,2
2652667,53,48,5
2652665,53,50,3
2652664,48,52,4
2652663,46,46,0
2652662,44,47,3
2652661,72,49,23
2652660,56,53,3
2652659,48,48,0
2652658,66,48,18
2652657,31,42,11
2652656,53,61,8
2652655,34,37,3
2652653,53,62,9
2652651,67,46,21
2652650,53,52,1
2652649,31,46,15
2652648,39,53,14
2652647,53,53,0
2652646,53,58,5
2652645,31,48,17
2652644,34,62,28
2652642,30,59,29
2652643,77,48,29
2652642,30,59,29
2652641,58,52,6
2652640,68,54,14
2652638,57,50,7
2652637,35,46,11
2652636,79,62,17
2652635,79,62,17
2652634,30,59,29
2652633,30,47,17
2652632,48,58,10
2652631,49,44,5
2652630,49,60,11
2652629,30,54,24
2652628,43,61,18
2652628,43,61,18
2652627,30,46,16
2652626,79,48,31
2652625,79,48,31
2652624,55,59,4
2652623,68,47,21
2652622,38,39,1
2652621,49,47,2
2652620,43,48,5
2652619,54,52,2
2652618,43,49,6
2652617,68,49,19
2652616,48,60,12
