id,real age,predicted age,|error|
2614728,28,25,3
2614725,51,67,16
2614701,66,77,11
2652054,49,81,32
2653094,32,84,52
2653092,30,66,36
2653086,51,48,3
2653081,48,91,43
2653080,48,90,42
2653079,48,90,42
2653078,48,87,39
2653077,73,79,6
2653073,34,83,49
2653072,36,65,29
2653071,36,82,46
2653066,57,87,30
2653065,47,75,28
2653061,16,88,72
2653059,52,88,36
2653058,30,60,30
2653056,48,84,36
2653054,44,90,46
2653053,48,83,35
2653052,53,80,27
2653051,63,84,21
2653048,48,88,40
2653045,48,84,36
2653044,30,90,60
2653042,58,58,0
2653040,58,62,4
2653039,35,85,50
2653038,58,43,15
2653037,35,88,53
2653036,48,73,25
2653035,48,65,17
2653032,48,86,38
2653031,32,61,29
2653026,35,86,51
2653022,69,91,22
2653021,30,83,53
2653019,58,90,32
2653018,41,72,31
2653016,66,92,26
2653015,41,78,37
2653014,41,78,37
2653013,48,84,36
2653012,66,85,19
2653010,30,76,46
2653081,48,91,43
2653080,48,90,42
2653078,48,87,39
2653077,73,79,6
2653073,34,83,49
2653072,36,65,29
2653071,36,82,46
2653061,16,88,72
2653059,52,88,36
2653058,30,60,30
2653056,48,84,36
2653054,44,90,46
2653053,48,83,35
2653052,53,80,27
2653051,63,84,21
2653048,48,88,40
2653046,45,72,27
2653045,48,84,36
2653044,30,90,60
2653042,58,58,0
2653040,58,62,4
2653039,35,85,50
2653037,35,88,53
2653036,48,73,25
2653035,48,65,17
2653033,48,59,11
2653032,48,86,38
2653026,35,86,51
2653022,69,91,22
2653021,30,83,53
2653019,58,90,32
2653018,41,72,31
2653016,66,92,26
2653015,41,78,37
2653014,41,78,37
2653013,48,84,36
2653012,66,85,19
2653011,30,73,43
2653010,30,76,46
2653008,44,84,40
2653007,62,85,23
2653005,50,81,31
2653004,54,86,32
2653002,30,93,63
2652999,50,80,30
2652998,24,88,64
2652997,30,80,50
2652996,30,83,53
2652995,67,86,19
2652994,24,85,61
2652993,30,77,47
2652992,62,91,29
2652991,39,90,51
2652990,62,94,32
2652989,62,82,20
2652988,54,87,33
2652987,62,78,16
2652986,62,97,35
2652985,67,87,20
2652982,35,77,42
2652980,51,85,34
2652979,30,72,42
2652978,72,79,7
2652977,54,89,35
2652976,50,80,30
2652974,50,76,26
2652972,62,76,14
2652971,63,83,20
2652970,68,83,15
2652969,39,47,8
2652966,30,72,42
2652965,39,59,20
2652964,30,72,42
2652974,50,76,26
2652972,62,76,14
2652971,63,83,20
2652970,68,83,15
2652966,30,72,42
2652965,39,59,20
2652964,30,72,42
2652963,30,75,45
2652960,30,75,45
2652958,30,79,49
2652957,44,88,44
2652956,47,68,21
2652955,30,64,34
2652954,30,74,44
2652953,53,79,26
2652952,30,41,11
2652951,46,80,34
2652945,46,75,29
2652955,30,64,34
2652954,30,74,44
2652953,53,79,26
2652952,30,41,11
2652951,46,80,34
2652949,49,66,17
2652943,65,86,21
2652942,46,82,36
2652938,30,76,46
2652937,48,87,39
2652936,72,78,6
2652933,51,94,43
2652931,30,79,49
2652927,54,66,12
2652926,48,84,36
2652922,48,77,29
2652920,30,77,47
2652919,30,77,47
2652913,40,69,29
2652912,47,66,19
2652909,47,74,27
2652908,30,76,46
2652905,30,68,38
2652904,24,37,13
2652903,30,66,36
2652901,24,69,45
2652900,64,72,8
2652899,72,91,19
2652898,66,80,14
2652897,54,67,13
2652913,40,69,29
2652912,47,66,19
2652911,27,75,48
2652909,47,74,27
2652908,30,76,46
2652905,30,68,38
2652904,24,37,13
2652903,30,66,36
2652903,30,66,36
2652901,24,69,45
2652899,72,91,19
2652898,66,80,14
2652897,54,67,13
2652896,44,83,39
2652894,28,87,59
2652893,47,82,35
2652892,56,81,25
2652890,87,93,6
2652888,62,93,31
2652887,48,89,41
2652885,48,91,43
2652883,63,88,25
2652882,42,71,29
2652880,61,66,5
2652879,54,83,29
2652876,73,86,13
2652875,48,87,39
2652872,47,66,19
2652871,52,85,33
2652870,30,80,50
2652867,68,66,2
2652865,16,74,58
2652864,28,60,32
2652863,60,82,22
2652862,66,84,18
2652855,53,70,17
2652854,81,92,11
2652850,53,77,24
2652854,81,92,11
2652850,53,77,24
2652849,53,72,19
2652848,13,72,59
2652846,53,80,27
2652845,33,84,51
2652843,60,85,25
2652841,62,92,30
2652840,30,89,59
2652839,36,78,42
2652838,48,92,44
2652836,48,91,43
2652835,48,88,40
2652833,81,76,5
2652832,30,62,32
2652830,48,92,44
2652829,30,75,45
2652825,30,76,46
2652823,54,81,27
2652822,54,84,30
2652819,54,82,28
2652816,54,77,23
2652815,54,79,25
2652814,54,76,22
2652813,30,73,43
2652799,57,89,32
2652797,54,86,32
2652796,54,88,34
2652792,50,79,29
2652829,30,75,45
2652827,31,51,20
2652825,30,76,46
2652823,54,81,27
2652822,54,84,30
2652819,54,82,28
2652817,30,75,45
2652816,54,77,23
2652815,54,79,25
2652814,54,76,22
2652813,30,73,43
2652805,64,78,14
2652799,57,89,32
2652797,54,86,32
2652796,54,88,34
2652792,50,79,29
2652790,46,85,39
2652789,30,88,58
2652788,69,88,19
2652786,30,85,55
2652785,30,85,55
2652782,46,55,9
2652780,30,90,60
2652779,57,88,31
2652777,62,93,31
2652776,30,65,35
2652775,62,89,27
2652774,33,83,50
2652772,46,80,34
2652769,44,64,20
2652767,30,82,52
2652766,37,84,47
2652765,48,77,29
2652763,57,82,25
2652761,56,82,26
2652759,30,53,23
2652758,47,90,43
2652757,31,68,37
2652755,57,92,35
2652753,31,59,28
2652750,64,86,22
2652747,62,77,15
2652746,30,89,59
2652745,57,94,37
2652744,68,81,13
2652743,64,85,21
2652741,71,82,11
2652740,38,71,33
2652739,30,72,42
2652738,30,46,16
2652737,30,58,28
2652736,51,81,30
2652735,30,87,57
2652734,39,89,50
2652733,45,91,46
2652732,75,89,14
2652730,66,87,21
2652729,66,86,20
2652728,53,76,23
2652726,58,80,22
2652725,48,88,40
2652724,58,61,3
2652722,30,77,47
2652720,51,83,32
2652719,48,85,37
2652717,30,78,48
2652714,47,85,38
2652711,32,77,45
2652709,51,79,28
2652708,31,62,31
2652705,30,90,60
2652704,48,91,43
2652703,30,91,61
2652701,30,53,23
2652699,56,82,26
2652697,30,90,60
2652696,30,46,16
2652694,32,72,40
2652692,32,82,50
2652691,61,81,20
2652690,45,67,22
2652689,45,82,37
2652688,64,83,19
2652684,36,84,48
2652682,36,83,47
2652680,30,94,64
2652679,42,71,29
2652678,30,51,21
2652677,72,79,7
2652676,51,80,29
2652674,30,88,58
2652673,47,88,41
2652672,59,84,25
2652671,48,91,43
2652670,55,84,29
2652667,53,83,30
2652665,53,76,23
2652664,48,88,40
2652663,46,74,28
2652662,44,85,41
2652661,72,80,8
2652660,56,82,26
2652659,48,38,10
2652658,66,83,17
2652657,31,83,52
2652656,53,88,35
2652655,34,48,14
2652653,53,87,34
2652651,67,77,10
2652650,53,84,31
2652649,31,78,47
2652648,39,68,29
2652647,53,78,25
2652646,53,86,33
2652645,31,71,40
2652644,34,79,45
2652642,30,84,54
2652643,77,87,10
2652642,30,84,54
2652641,58,82,24
2652640,68,82,14
2652638,57,84,27
2652637,35,70,35
2652636,79,89,10
2652635,79,89,10
